seed,module,tile,domain,predicted,predicted_se,measured,measured_se,stable_wrong_sign
20260913,model.language_model.layers.29.mlp.gate_proj,34702,wiki,-0.0004782319301739335,4.781008101417683e-05,-0.0014366358518600464,0.004269265469481978,False
20260913,model.language_model.layers.13.linear_attn.in_proj_qkv,27414,wiki,-0.00046862949966453016,8.342026558239013e-05,0.015111252665519714,0.012246163934148345,False
20260913,model.language_model.layers.11.self_attn.q_proj,4702,wiki,-0.0010131790768355131,0.00015384402649942786,0.010527536273002625,0.007255682823314245,False
20260913,model.language_model.layers.3.self_attn.q_proj,40942,wiki,-0.0010016912128776312,0.00028318073600530624,0.004469752311706543,0.004573756520897847,False
20260913,model.language_model.layers.3.self_attn.q_proj,51182,wiki,-0.0032052723690867424,0.00043092702981084585,-0.0021854937076568604,0.003900660642231799,False
20260913,model.language_model.layers.2.linear_attn.in_proj_z,52142,wiki,-0.0004145620623603463,8.058624371187761e-05,0.005807176232337952,0.006078648591144003,False
20260913,model.language_model.layers.2.linear_attn.in_proj_qkv,622,wiki,0.0003063028852920979,0.0005109255434945226,0.014989480376243591,0.007429251923541269,False
20260913,model.language_model.layers.0.linear_attn.out_proj,13401,wiki,0.0003062044270336628,0.000125937134725973,0.006305664777755737,0.010983853774979032,False
20260913,model.language_model.layers.0.linear_attn.out_proj,47961,wiki,0.0005572476657107472,0.00032257396378554404,0.03228911757469177,0.008640924587337208,False
20260913,model.language_model.layers.63.mlp.down_proj,1951,c4,-6.50527399557177e-05,6.265210454967221e-06,-4.4211745262145996e-05,5.002820741663409e-05,False
20260913,model.language_model.layers.50.linear_attn.in_proj_a,302,c4,-8.470960574413766e-05,6.57735975753338e-05,-0.00038267672061920166,0.00083710211768135,False
20260913,model.language_model.layers.46.linear_attn.in_proj_z,35902,c4,-3.200815717718797e-05,5.183796031730905e-06,-0.0005238652229309082,0.0013755105342829646,False
20260913,model.language_model.layers.46.linear_attn.in_proj_qkv,69582,c4,-2.7464780032460112e-05,5.206263982768278e-06,0.001172676682472229,0.0012723290527622089,False
20260913,model.language_model.layers.32.linear_attn.in_proj_qkv,79902,c4,-5.178146602702327e-05,1.312872416785415e-05,-0.0010281503200531006,0.0018431378079139381,False
20260913,model.language_model.layers.30.linear_attn.in_proj_b,462,c4,3.6418095987755805e-05,1.068395605492657e-05,-0.00047160685062408447,0.0017524759595909563,False
20260913,model.language_model.layers.29.mlp.gate_proj,34702,c4,5.453478252093191e-06,2.174375059154344e-06,-0.0007982701063156128,0.0012913047572057532,False
20260913,model.language_model.layers.13.linear_attn.in_proj_qkv,27414,c4,1.0136270702787442e-05,3.7991194357926412e-06,-0.00040328502655029297,0.0022347922772032887,False
20260913,model.language_model.layers.11.self_attn.q_proj,4702,c4,-1.4681204447697382e-06,3.1851762274715118e-06,0.0014433711767196655,0.0018423735473357887,False
20260913,model.language_model.layers.3.self_attn.q_proj,40942,c4,3.1714048418507446e-06,3.319937468468195e-06,7.793307304382324e-05,0.0016828345166468427,False
20260913,model.language_model.layers.3.self_attn.q_proj,51182,c4,-4.76870241072902e-08,4.516765815299362e-06,0.0015501230955123901,0.001995591172708385,False
20260913,model.language_model.layers.2.linear_attn.in_proj_z,52142,c4,5.208727770877886e-06,1.9701649756344873e-06,0.0010680556297302246,0.0014611289163854876,False
20260913,model.language_model.layers.2.linear_attn.in_proj_qkv,622,c4,-0.00010117672354681417,3.317070536517374e-05,0.0008683651685714722,0.0015929393175186598,False
20260913,model.language_model.layers.0.linear_attn.out_proj,13401,c4,-3.2249348805635236e-05,9.577351554402004e-06,0.0012892186641693115,0.0016077356395293306,False
20260913,model.language_model.layers.0.linear_attn.out_proj,47961,c4,-6.90842825861182e-05,1.7958271861790438e-05,-0.00021098554134368896,0.0017987832084524775,False
