model,draw,module,approving,veto_total,predicted_harmful,favorable_uncertainty_fail,neutral,invalid,near_zero_upper_abs_le_1e_10,both_means_negative,ce_negative_kl_nonnegative,ce_nonnegative_kl_negative,both_nonnegative,both_pass,only_ce_pass,only_kl_pass,neither_pass
llama8b,draw1,model.layers.0.mlp.up_proj,kl,35,0,35,0,0,0,22817,6125,6332,22070,6,75,35,57228
llama8b,draw2,model.layers.0.mlp.up_proj,ce,71,0,71,0,0,0,22252,6695,6784,21613,9,71,38,57226
llama8b,draw2,model.layers.0.mlp.up_proj,kl,38,1,37,0,0,0,22252,6695,6784,21613,9,71,38,57226
llama8b,draw3,model.layers.0.mlp.up_proj,ce,69,0,69,0,0,0,22591,6421,6333,21999,5,69,37,57233
llama8b,draw3,model.layers.0.mlp.up_proj,kl,37,0,37,0,0,0,22591,6421,6333,21999,5,69,37,57233
llama8b,draw4,model.layers.0.mlp.up_proj,ce,61,3,58,0,0,0,22650,6348,6431,21915,10,61,42,57231
llama8b,draw4,model.layers.0.mlp.up_proj,kl,42,0,42,0,0,0,22650,6348,6431,21915,10,61,42,57231
llama8b,seed0,model.layers.0.self_attn.k_proj,ce,8,0,8,0,0,0,1486,591,596,1423,1,8,7,4080
llama8b,seed0,model.layers.0.self_attn.k_proj,kl,7,0,7,0,0,0,1486,591,596,1423,1,8,7,4080
llama8b,draw1,model.layers.0.self_attn.k_proj,ce,3,0,3,0,0,0,1560,551,538,1447,0,3,10,4083
llama8b,draw1,model.layers.0.self_attn.k_proj,kl,10,0,10,0,0,0,1560,551,538,1447,0,3,10,4083
llama8b,draw2,model.layers.0.self_attn.k_proj,ce,7,0,7,0,0,0,1584,520,570,1422,0,7,8,4081
llama8b,draw2,model.layers.0.self_attn.k_proj,kl,8,1,7,0,0,0,1584,520,570,1422,0,7,8,4081
llama8b,draw3,model.layers.0.self_attn.k_proj,ce,7,0,7,0,0,0,1535,501,530,1530,2,7,8,4079
llama8b,draw3,model.layers.0.self_attn.k_proj,kl,8,0,8,0,0,0,1535,501,530,1530,2,7,8,4079
llama8b,draw4,model.layers.0.self_attn.k_proj,ce,3,0,3,0,0,0,1544,481,493,1578,0,3,2,4091
llama8b,draw4,model.layers.0.self_attn.k_proj,kl,2,0,2,0,0,0,1544,481,493,1578,0,3,2,4091
llama8b,seed0,model.layers.0.self_attn.o_proj,ce,30,0,30,0,0,0,5918,2295,2429,5742,14,30,61,16279
llama8b,seed0,model.layers.0.self_attn.o_proj,kl,61,1,60,0,0,0,5918,2295,2429,5742,14,30,61,16279
llama8b,draw1,model.layers.0.self_attn.o_proj,ce,22,0,22,0,0,0,6343,1913,1950,6178,4,22,42,16316
llama8b,draw1,model.layers.0.self_attn.o_proj,kl,42,1,41,0,0,0,6343,1913,1950,6178,4,22,42,16316
llama8b,draw2,model.layers.0.self_attn.o_proj,ce,26,0,26,0,0,0,6199,2124,2151,5910,6,26,44,16308
llama8b,draw2,model.layers.0.self_attn.o_proj,kl,44,1,43,0,0,0,6199,2124,2151,5910,6,26,44,16308
llama8b,draw3,model.layers.0.self_attn.o_proj,ce,26,0,26,0,0,0,6215,1979,2043,6147,6,26,28,16324
llama8b,draw3,model.layers.0.self_attn.o_proj,kl,28,0,28,0,0,0,6215,1979,2043,6147,6,26,28,16324
llama8b,draw4,model.layers.0.self_attn.o_proj,ce,12,0,12,0,0,0,6377,1900,2013,6094,13,12,45,16314
llama8b,draw4,model.layers.0.self_attn.o_proj,kl,45,0,45,0,0,0,6377,1900,2013,6094,13,12,45,16314
llama8b,seed0,model.layers.0.self_attn.q_proj,ce,30,1,29,0,0,0,5675,2491,2412,5806,2,30,18,16334
llama8b,seed0,model.layers.0.self_attn.q_proj,kl,18,0,18,0,0,0,5675,2491,2412,5806,2,30,18,16334
llama8b,draw1,model.layers.0.self_attn.q_proj,ce,15,0,15,0,0,0,6278,2054,2078,5974,4,15,25,16340
llama8b,draw1,model.layers.0.self_attn.q_proj,kl,25,2,23,0,0,0,6278,2054,2078,5974,4,15,25,16340
llama8b,draw2,model.layers.0.self_attn.q_proj,ce,17,0,17,0,0,0,6210,2148,2101,5925,2,17,29,16336
llama8b,draw2,model.layers.0.self_attn.q_proj,kl,29,5,24,0,0,0,6210,2148,2101,5925,2,17,29,16336
llama8b,draw3,model.layers.0.self_attn.q_proj,ce,15,0,15,0,0,0,6194,2041,2053,6096,4,15,18,16347
llama8b,draw3,model.layers.0.self_attn.q_proj,kl,18,0,18,0,0,0,6194,2041,2053,6096,4,15,18,16347
llama8b,draw4,model.layers.0.self_attn.q_proj,ce,18,0,18,0,0,0,6277,1887,1872,6348,4,18,25,16337
llama8b,draw4,model.layers.0.self_attn.q_proj,kl,25,1,24,0,0,0,6277,1887,1872,6348,4,18,25,16337
llama8b,seed0,model.layers.0.self_attn.v_proj,ce,11,0,11,0,0,0,1542,560,578,1416,8,11,31,4046
llama8b,seed0,model.layers.0.self_attn.v_proj,kl,31,1,30,0,0,0,1542,560,578,1416,8,11,31,4046
llama8b,draw1,model.layers.0.self_attn.v_proj,ce,5,0,5,0,0,0,1655,432,449,1560,5,5,9,4077
llama8b,draw1,model.layers.0.self_attn.v_proj,kl,9,0,9,0,0,0,1655,432,449,1560,5,5,9,4077
llama8b,draw2,model.layers.0.self_attn.v_proj,ce,6,0,6,0,0,0,1609,511,496,1480,1,6,6,4083
llama8b,draw2,model.layers.0.self_attn.v_proj,kl,6,0,6,0,0,0,1609,511,496,1480,1,6,6,4083
llama8b,draw3,model.layers.0.self_attn.v_proj,ce,14,0,14,0,0,0,1616,478,481,1521,5,14,11,4066
llama8b,draw3,model.layers.0.self_attn.v_proj,kl,11,1,10,0,0,0,1616,478,481,1521,5,14,11,4066
llama8b,draw4,model.layers.0.self_attn.v_proj,ce,6,0,6,0,0,0,1619,441,456,1580,5,6,10,4075
llama8b,draw4,model.layers.0.self_attn.v_proj,kl,10,0,10,0,0,0,1619,441,456,1580,5,6,10,4075
llama8b,seed0,model.layers.1.mlp.down_proj,ce,91,1,90,0,0,0,21094,7704,7930,20616,33,91,103,57117
llama8b,seed0,model.layers.1.mlp.down_proj,kl,103,0,103,0,0,0,21094,7704,7930,20616,33,91,103,57117
llama8b,draw1,model.layers.1.mlp.down_proj,ce,71,0,71,0,0,0,22943,5910,5995,22496,40,71,59,57174
llama8b,draw1,model.layers.1.mlp.down_proj,kl,59,0,59,0,0,0,22943,5910,5995,22496,40,71,59,57174
llama8b,draw2,model.layers.1.mlp.down_proj,ce,62,0,62,0,0,0,22593,6514,6702,21535,39,62,64,57179
llama8b,draw2,model.layers.1.mlp.down_proj,kl,64,0,64,0,0,0,22593,6514,6702,21535,39,62,64,57179
llama8b,draw3,model.layers.1.mlp.down_proj,ce,82,1,81,0,0,0,23185,5789,5846,22524,42,82,41,57179
llama8b,draw3,model.layers.1.mlp.down_proj,kl,41,0,41,0,0,0,23185,5789,5846,22524,42,82,41,57179
llama8b,draw4,model.layers.1.mlp.down_proj,ce,71,0,71,0,0,0,22377,6320,6443,22204,36,71,66,57171
llama8b,draw4,model.layers.1.mlp.down_proj,kl,66,0,66,0,0,0,22377,6320,6443,22204,36,71,66,57171
llama8b,seed0,model.layers.1.mlp.gate_proj,ce,80,0,80,0,0,0,20985,7878,7982,20499,20,80,64,57180
llama8b,seed0,model.layers.1.mlp.gate_proj,kl,64,0,64,0,0,0,20985,7878,7982,20499,20,80,64,57180
llama8b,draw1,model.layers.1.mlp.gate_proj,ce,56,0,56,0,0,0,22951,5991,6267,22135,20,56,48,57220
llama8b,draw1,model.layers.1.mlp.gate_proj,kl,48,0,48,0,0,0,22951,5991,6267,22135,20,56,48,57220
llama8b,draw2,model.layers.1.mlp.gate_proj,ce,75,2,73,0,0,0,22348,6786,6760,21450,10,75,50,57209
llama8b,draw2,model.layers.1.mlp.gate_proj,kl,50,0,50,0,0,0,22348,6786,6760,21450,10,75,50,57209
llama8b,draw3,model.layers.1.mlp.gate_proj,ce,71,0,71,0,0,0,23014,5933,5940,22457,16,71,38,57219
llama8b,draw3,model.layers.1.mlp.gate_proj,kl,38,0,38,0,0,0,23014,5933,5940,22457,16,71,38,57219
llama8b,draw4,model.layers.1.mlp.gate_proj,ce,58,0,58,0,0,0,22516,6416,6411,22001,18,58,46,57222
llama8b,draw4,model.layers.1.mlp.gate_proj,kl,46,0,46,0,0,0,22516,6416,6411,22001,18,58,46,57222
llama8b,seed0,model.layers.1.mlp.up_proj,ce,94,3,91,0,0,0,21320,7909,7724,20391,22,94,89,57139
llama8b,seed0,model.layers.1.mlp.up_proj,kl,89,3,86,0,0,0,21320,7909,7724,20391,22,94,89,57139
llama8b,draw1,model.layers.1.mlp.up_proj,ce,74,0,74,0,0,0,22888,6087,6046,22323,18,74,49,57203
llama8b,draw1,model.layers.1.mlp.up_proj,kl,49,0,49,0,0,0,22888,6087,6046,22323,18,74,49,57203
llama8b,draw2,model.layers.1.mlp.up_proj,ce,75,1,74,0,0,0,21922,6752,6930,21740,15,75,61,57193
llama8b,draw2,model.layers.1.mlp.up_proj,kl,61,1,60,0,0,0,21922,6752,6930,21740,15,75,61,57193
llama8b,draw3,model.layers.1.mlp.up_proj,ce,63,0,63,0,0,0,23091,6040,6102,22111,13,63,38,57230
llama8b,draw3,model.layers.1.mlp.up_proj,kl,38,0,38,0,0,0,23091,6040,6102,22111,13,63,38,57230
llama8b,draw4,model.layers.1.mlp.up_proj,ce,72,0,72,0,0,0,22531,6421,6587,21805,19,72,55,57198
llama8b,draw4,model.layers.1.mlp.up_proj,kl,55,1,54,0,0,0,22531,6421,6587,21805,19,72,55,57198
llama8b,seed0,model.layers.1.self_attn.k_proj,ce,17,0,17,0,0,0,1601,416,446,1633,7,17,64,4008
llama8b,seed0,model.layers.1.self_attn.k_proj,kl,64,0,64,0,0,0,1601,416,446,1633,7,17,64,4008
llama8b,draw1,model.layers.1.self_attn.k_proj,ce,9,0,9,0,0,0,1671,404,377,1644,6,9,15,4066
llama8b,draw1,model.layers.1.self_attn.k_proj,kl,15,0,15,0,0,0,1671,404,377,1644,6,9,15,4066
llama8b,draw2,model.layers.1.self_attn.k_proj,ce,4,0,4,0,0,0,1535,485,518,1558,1,4,3,4088
llama8b,draw2,model.layers.1.self_attn.k_proj,kl,3,0,3,0,0,0,1535,485,518,1558,1,4,3,4088
llama8b,draw3,model.layers.1.self_attn.k_proj,ce,6,0,6,0,0,0,1597,438,415,1646,0,6,12,4078
llama8b,draw3,model.layers.1.self_attn.k_proj,kl,12,0,12,0,0,0,1597,438,415,1646,0,6,12,4078
llama8b,draw4,model.layers.1.self_attn.k_proj,ce,5,0,5,0,0,0,1613,492,465,1526,1,5,7,4083
llama8b,draw4,model.layers.1.self_attn.k_proj,kl,7,0,7,0,0,0,1613,492,465,1526,1,5,7,4083
llama8b,seed0,model.layers.1.self_attn.o_proj,ce,45,3,42,0,0,0,6016,2318,2389,5661,15,45,80,16244
llama8b,seed0,model.layers.1.self_attn.o_proj,kl,80,0,80,0,0,0,6016,2318,2389,5661,15,45,80,16244
llama8b,draw1,model.layers.1.self_attn.o_proj,ce,33,0,33,0,0,0,6434,1840,1824,6286,12,33,53,16286
llama8b,draw1,model.layers.1.self_attn.o_proj,kl,53,1,52,0,0,0,6434,1840,1824,6286,12,33,53,16286
llama8b,draw2,model.layers.1.self_attn.o_proj,ce,39,0,39,0,0,0,6193,2065,2144,5982,7,39,60,16278
llama8b,draw2,model.layers.1.self_attn.o_proj,kl,60,1,59,0,0,0,6193,2065,2144,5982,7,39,60,16278
llama8b,draw3,model.layers.1.self_attn.o_proj,ce,45,0,45,0,0,0,6533,1843,1835,6173,14,45,35,16290
llama8b,draw3,model.layers.1.self_attn.o_proj,kl,35,0,35,0,0,0,6533,1843,1835,6173,14,45,35,16290
llama8b,draw4,model.layers.1.self_attn.o_proj,ce,30,0,30,0,0,0,6377,1887,2023,6097,7,30,49,16298
llama8b,draw4,model.layers.1.self_attn.o_proj,kl,49,0,49,0,0,0,6377,1887,2023,6097,7,30,49,16298
llama8b,seed0,model.layers.1.self_attn.q_proj,ce,29,0,29,0,0,0,6088,2244,2202,5850,9,29,191,16155
llama8b,seed0,model.layers.1.self_attn.q_proj,kl,191,1,190,0,0,0,6088,2244,2202,5850,9,29,191,16155
llama8b,draw1,model.layers.1.self_attn.q_proj,ce,38,0,38,0,0,0,6450,1755,1741,6438,11,38,39,16296
llama8b,draw1,model.layers.1.self_attn.q_proj,kl,39,0,39,0,0,0,6450,1755,1741,6438,11,38,39,16296
llama8b,draw2,model.layers.1.self_attn.q_proj,ce,14,0,14,0,0,0,6181,1997,2072,6134,5,14,20,16345
llama8b,draw2,model.layers.1.self_attn.q_proj,kl,20,0,20,0,0,0,6181,1997,2072,6134,5,14,20,16345
llama8b,draw3,model.layers.1.self_attn.q_proj,ce,19,0,19,0,0,0,6332,1988,1915,6149,7,19,43,16315
llama8b,draw3,model.layers.1.self_attn.q_proj,kl,43,0,43,0,0,0,6332,1988,1915,6149,7,19,43,16315
llama8b,draw4,model.layers.1.self_attn.q_proj,ce,25,1,24,0,0,0,6119,2076,2045,6144,8,25,39,16312
llama8b,draw4,model.layers.1.self_attn.q_proj,kl,39,1,38,0,0,0,6119,2076,2045,6144,8,25,39,16312
llama8b,seed0,model.layers.1.self_attn.v_proj,ce,21,0,21,0,0,0,1553,533,585,1425,3,21,31,4041
llama8b,seed0,model.layers.1.self_attn.v_proj,kl,31,0,31,0,0,0,1553,533,585,1425,3,21,31,4041
llama8b,draw1,model.layers.1.self_attn.v_proj,ce,3,0,3,0,0,0,1694,418,414,1570,3,3,14,4076
llama8b,draw1,model.layers.1.self_attn.v_proj,kl,14,0,14,0,0,0,1694,418,414,1570,3,3,14,4076
llama8b,draw2,model.layers.1.self_attn.v_proj,ce,11,0,11,0,0,0,1585,529,517,1465,5,11,16,4064
llama8b,draw2,model.layers.1.self_attn.v_proj,kl,16,0,16,0,0,0,1585,529,517,1465,5,11,16,4064
llama8b,draw3,model.layers.1.self_attn.v_proj,ce,7,0,7,0,0,0,1625,452,453,1566,3,7,9,4077
llama8b,draw3,model.layers.1.self_attn.v_proj,kl,9,0,9,0,0,0,1625,452,453,1566,3,7,9,4077
llama8b,draw4,model.layers.1.self_attn.v_proj,ce,9,0,9,0,0,0,1703,429,419,1545,6,9,24,4057
llama8b,draw4,model.layers.1.self_attn.v_proj,kl,24,0,24,0,0,0,1703,429,419,1545,6,9,24,4057
llama8b,seed0,model.layers.10.mlp.down_proj,ce,83,0,83,0,0,0,21120,7695,8047,20482,9,83,74,57178
llama8b,seed0,model.layers.10.mlp.down_proj,kl,74,0,74,0,0,0,21120,7695,8047,20482,9,83,74,57178
llama8b,draw1,model.layers.10.mlp.down_proj,ce,71,0,71,0,0,0,23264,5488,5643,22949,18,71,55,57200
llama8b,draw1,model.layers.10.mlp.down_proj,kl,55,1,54,0,0,0,23264,5488,5643,22949,18,71,55,57200
llama8b,draw2,model.layers.10.mlp.down_proj,ce,71,0,71,0,0,0,21700,7312,7527,20805,7,71,67,57199
llama8b,draw2,model.layers.10.mlp.down_proj,kl,67,0,67,0,0,0,21700,7312,7527,20805,7,71,67,57199
llama8b,draw3,model.layers.10.mlp.down_proj,ce,57,1,56,0,0,0,22974,6051,6101,22218,7,57,31,57249
llama8b,draw3,model.layers.10.mlp.down_proj,kl,31,0,31,0,0,0,22974,6051,6101,22218,7,57,31,57249
llama8b,draw4,model.layers.10.mlp.down_proj,ce,64,1,63,0,0,0,22344,6285,6583,22132,10,64,45,57225
llama8b,draw4,model.layers.10.mlp.down_proj,kl,45,1,44,0,0,0,22344,6285,6583,22132,10,64,45,57225
llama8b,seed0,model.layers.10.mlp.gate_proj,ce,87,2,85,0,0,0,21169,7836,7817,20522,5,87,46,57206
llama8b,seed0,model.layers.10.mlp.gate_proj,kl,46,0,46,0,0,0,21169,7836,7817,20522,5,87,46,57206
llama8b,draw1,model.layers.10.mlp.gate_proj,ce,50,0,50,0,0,0,23316,5513,5448,23067,5,50,53,57236
llama8b,draw1,model.layers.10.mlp.gate_proj,kl,53,0,53,0,0,0,23316,5513,5448,23067,5,50,53,57236
llama8b,draw2,model.layers.10.mlp.gate_proj,ce,66,2,64,0,0,0,21697,7343,7326,20978,5,66,56,57217
llama8b,draw2,model.layers.10.mlp.gate_proj,kl,56,0,56,0,0,0,21697,7343,7326,20978,5,66,56,57217
llama8b,draw3,model.layers.10.mlp.gate_proj,ce,55,0,55,0,0,0,22707,6021,6008,22608,1,55,26,57262
llama8b,draw3,model.layers.10.mlp.gate_proj,kl,26,1,25,0,0,0,22707,6021,6008,22608,1,55,26,57262
llama8b,draw4,model.layers.10.mlp.gate_proj,ce,73,0,73,0,0,0,22492,6350,6469,22033,7,73,36,57228
llama8b,draw4,model.layers.10.mlp.gate_proj,kl,36,0,36,0,0,0,22492,6350,6469,22033,7,73,36,57228
llama8b,seed0,model.layers.10.mlp.up_proj,ce,74,2,72,0,0,0,20864,7984,7902,20594,12,74,72,57186
llama8b,seed0,model.layers.10.mlp.up_proj,kl,72,0,72,0,0,0,20864,7984,7902,20594,12,74,72,57186
llama8b,draw1,model.layers.10.mlp.up_proj,ce,66,1,65,0,0,0,23292,5575,5632,22845,11,66,54,57213
llama8b,draw1,model.layers.10.mlp.up_proj,kl,54,1,53,0,0,0,23292,5575,5632,22845,11,66,54,57213
llama8b,draw2,model.layers.10.mlp.up_proj,ce,106,0,106,0,0,0,21231,7536,7808,20769,3,106,57,57178
llama8b,draw2,model.layers.10.mlp.up_proj,kl,57,0,57,0,0,0,21231,7536,7808,20769,3,106,57,57178
llama8b,draw3,model.layers.10.mlp.up_proj,ce,81,0,81,0,0,0,22462,6207,6212,22463,8,81,23,57232
llama8b,draw3,model.layers.10.mlp.up_proj,kl,23,1,22,0,0,0,22462,6207,6212,22463,8,81,23,57232
llama8b,draw4,model.layers.10.mlp.up_proj,ce,86,0,86,0,0,0,22327,6418,6534,22065,8,86,54,57196
llama8b,draw4,model.layers.10.mlp.up_proj,kl,54,0,54,0,0,0,22327,6418,6534,22065,8,86,54,57196
llama8b,seed0,model.layers.10.self_attn.k_proj,ce,9,2,7,0,0,0,1558,535,584,1419,1,9,8,4078
llama8b,seed0,model.layers.10.self_attn.k_proj,kl,8,0,8,0,0,0,1558,535,584,1419,1,9,8,4078
llama8b,draw1,model.layers.10.self_attn.k_proj,ce,9,0,9,0,0,0,1693,388,448,1567,0,9,6,4081
llama8b,draw1,model.layers.10.self_attn.k_proj,kl,6,0,6,0,0,0,1693,388,448,1567,0,9,6,4081
llama8b,draw2,model.layers.10.self_attn.k_proj,ce,13,0,13,0,0,0,1530,561,587,1418,0,13,8,4075
llama8b,draw2,model.layers.10.self_attn.k_proj,kl,8,0,8,0,0,0,1530,561,587,1418,0,13,8,4075
llama8b,draw3,model.layers.10.self_attn.k_proj,ce,5,0,5,0,0,0,1570,520,531,1475,0,5,2,4089
llama8b,draw3,model.layers.10.self_attn.k_proj,kl,2,0,2,0,0,0,1570,520,531,1475,0,5,2,4089
llama8b,draw4,model.layers.10.self_attn.k_proj,ce,2,0,2,0,0,0,1569,550,481,1496,0,2,5,4089
llama8b,draw4,model.layers.10.self_attn.k_proj,kl,5,0,5,0,0,0,1569,550,481,1496,0,2,5,4089
llama8b,seed0,model.layers.10.self_attn.o_proj,ce,40,1,39,0,0,0,6144,2201,2355,5684,7,40,66,16271
llama8b,seed0,model.layers.10.self_attn.o_proj,kl,66,1,65,0,0,0,6144,2201,2355,5684,7,40,66,16271
llama8b,draw1,model.layers.10.self_attn.o_proj,ce,43,0,43,0,0,0,6632,1700,1687,6365,12,43,37,16292
llama8b,draw1,model.layers.10.self_attn.o_proj,kl,37,0,37,0,0,0,6632,1700,1687,6365,12,43,37,16292
llama8b,draw2,model.layers.10.self_attn.o_proj,ce,31,0,31,0,0,0,6116,2212,2269,5787,9,31,45,16299
llama8b,draw2,model.layers.10.self_attn.o_proj,kl,45,0,45,0,0,0,6116,2212,2269,5787,9,31,45,16299
llama8b,draw3,model.layers.10.self_attn.o_proj,ce,33,0,33,0,0,0,6522,1865,1867,6130,5,33,23,16323
llama8b,draw3,model.layers.10.self_attn.o_proj,kl,23,2,21,0,0,0,6522,1865,1867,6130,5,33,23,16323
llama8b,draw4,model.layers.10.self_attn.o_proj,ce,41,0,41,0,0,0,6394,1911,1915,6164,18,41,45,16280
llama8b,draw4,model.layers.10.self_attn.o_proj,kl,45,1,44,0,0,0,6394,1911,1915,6164,18,41,45,16280
llama8b,seed0,model.layers.10.self_attn.q_proj,ce,22,0,22,0,0,0,5945,2420,2407,5612,2,22,27,16333
llama8b,seed0,model.layers.10.self_attn.q_proj,kl,27,1,26,0,0,0,5945,2420,2407,5612,2,22,27,16333
llama8b,draw1,model.layers.10.self_attn.q_proj,ce,18,0,18,0,0,0,6420,1734,1764,6466,1,18,15,16350
llama8b,draw1,model.layers.10.self_attn.q_proj,kl,15,0,15,0,0,0,6420,1734,1764,6466,1,18,15,16350
llama8b,draw2,model.layers.10.self_attn.q_proj,ce,33,1,32,0,0,0,5913,2333,2355,5783,6,33,26,16319
llama8b,draw2,model.layers.10.self_attn.q_proj,kl,26,1,25,0,0,0,5913,2333,2355,5783,6,33,26,16319
llama8b,draw3,model.layers.10.self_attn.q_proj,ce,12,0,12,0,0,0,6305,1996,1998,6085,1,12,11,16360
llama8b,draw3,model.layers.10.self_attn.q_proj,kl,11,0,11,0,0,0,6305,1996,1998,6085,1,12,11,16360
llama8b,draw4,model.layers.10.self_attn.q_proj,ce,16,0,16,0,0,0,6213,2088,2095,5988,1,16,6,16361
llama8b,draw4,model.layers.10.self_attn.q_proj,kl,6,0,6,0,0,0,6213,2088,2095,5988,1,16,6,16361
llama8b,seed0,model.layers.10.self_attn.v_proj,ce,7,0,7,0,0,0,1487,571,608,1430,2,7,14,4073
llama8b,seed0,model.layers.10.self_attn.v_proj,kl,14,0,14,0,0,0,1487,571,608,1430,2,7,14,4073
llama8b,draw1,model.layers.10.self_attn.v_proj,ce,9,0,9,0,0,0,1686,418,440,1552,1,9,7,4079
llama8b,draw1,model.layers.10.self_attn.v_proj,kl,7,0,7,0,0,0,1686,418,440,1552,1,9,7,4079
llama8b,draw2,model.layers.10.self_attn.v_proj,ce,8,0,8,0,0,0,1536,567,595,1398,1,8,10,4077
llama8b,draw2,model.layers.10.self_attn.v_proj,kl,10,1,9,0,0,0,1536,567,595,1398,1,8,10,4077
llama8b,draw3,model.layers.10.self_attn.v_proj,ce,2,0,2,0,0,0,1618,461,519,1498,0,2,1,4093
llama8b,draw3,model.layers.10.self_attn.v_proj,kl,1,0,1,0,0,0,1618,461,519,1498,0,2,1,4093
llama8b,draw4,model.layers.10.self_attn.v_proj,ce,11,0,11,0,0,0,1569,520,555,1452,4,11,5,4076
llama8b,draw4,model.layers.10.self_attn.v_proj,kl,5,0,5,0,0,0,1569,520,555,1452,4,11,5,4076
llama8b,seed0,model.layers.11.mlp.down_proj,ce,82,5,77,0,0,0,21367,7684,7877,20416,10,82,67,57185
llama8b,seed0,model.layers.11.mlp.down_proj,kl,67,2,65,0,0,0,21367,7684,7877,20416,10,82,67,57185
llama8b,draw1,model.layers.11.mlp.down_proj,ce,61,0,61,0,0,0,23713,5344,5465,22822,13,61,50,57220
llama8b,draw1,model.layers.11.mlp.down_proj,kl,50,0,50,0,0,0,23713,5344,5465,22822,13,61,50,57220
llama8b,draw2,model.layers.11.mlp.down_proj,ce,85,0,85,0,0,0,21748,7193,7230,21173,18,85,64,57177
llama8b,draw2,model.layers.11.mlp.down_proj,kl,64,0,64,0,0,0,21748,7193,7230,21173,18,85,64,57177
llama8b,draw3,model.layers.11.mlp.down_proj,ce,57,1,56,0,0,0,23029,5955,5822,22538,3,57,29,57255
llama8b,draw3,model.layers.11.mlp.down_proj,kl,29,0,29,0,0,0,23029,5955,5822,22538,3,57,29,57255
llama8b,draw4,model.layers.11.mlp.down_proj,ce,88,0,88,0,0,0,22779,6285,6231,22049,13,88,46,57197
llama8b,draw4,model.layers.11.mlp.down_proj,kl,46,0,46,0,0,0,22779,6285,6231,22049,13,88,46,57197
llama8b,seed0,model.layers.11.mlp.gate_proj,ce,76,0,76,0,0,0,21156,7599,7780,20809,4,76,63,57201
llama8b,seed0,model.layers.11.mlp.gate_proj,kl,63,5,58,0,0,0,21156,7599,7780,20809,4,76,63,57201
llama8b,draw1,model.layers.11.mlp.gate_proj,ce,64,0,64,0,0,0,23531,5235,5310,23268,10,64,49,57221
llama8b,draw1,model.layers.11.mlp.gate_proj,kl,49,0,49,0,0,0,23531,5235,5310,23268,10,64,49,57221
